======================================================================
  QuantHive — Multi-Agent PPO Training
  Episodes: 8000  |  Curriculum: 4 phases
  Device: cuda  |  Seed: 42
======================================================================
/kaggle/working/QuantHive/training/ppo_trainer.py:171: UserWarning: Creating a tensor from a list of numpy.ndarrays is extremely slow. Please consider converting the list to a single numpy.ndarray with numpy.array() before converting to a tensor. (Triggered internally at /pytorch/torch/csrc/utils/tensor_new.cpp:253.)
  mb_cont = torch.FloatTensor(
Ep   460 [medium      ] [trader_0            ] | DD=0.00% | Ret=+0.00% | Viol=72.00% | Fails=3 | 3.4s
Ep   470 [medium      ] [trader_0            ] | DD=0.00% | Ret=+0.00% | Viol=62.60% | Fails=11 | 3.4s
Ep   480 [medium      ] [trader_0            ] | DD=0.00% | Ret=+0.00% | Viol=52.20% | Fails=8 | 3.6s
Ep   490 [medium      ] [trader_0            ] | DD=0.00% | Ret=+0.00% | Viol=45.80% | Fails=10 | 3.2s
Ep   500 [hard        ] [risk_manager_0      ] | DD=70.99% | Ret=-70.36% | Viol=39.60% | Fails=40 | 3.2s
Ep   510 [hard        ] [risk_manager_0      ] | DD=0.00% | Ret=+0.00% | Viol=30.80% | Fails=0 | 3.2s
Ep   520 [hard        ] [risk_manager_0      ] | DD=66.21% | Ret=-66.21% | Viol=52.80% | Fails=161 | 3.2s
Ep   530 [hard        ] [risk_manager_0      ] | DD=93.98% | Ret=-93.98% | Viol=28.40% | Fails=100 | 1.0s
Ep   540 [hard        ] [risk_manager_0      ] | DD=95.49% | Ret=-95.31% | Viol=16.08% | Fails=121 | 2.6s
Ep   550 [hard        ] [portfolio_manager_0 ] | DD=74.27% | Ret=-73.53% | Viol=22.60% | Fails=77 | 3.2s
Ep   560 [hard        ] [portfolio_manager_0 ] | DD=82.52% | Ret=-82.29% | Viol=40.20% | Fails=75 | 3.3s
Ep   570 [hard        ] [portfolio_manager_0 ] | DD=49.84% | Ret=-49.80% | Viol=42.00% | Fails=30 | 3.1s
Ep   580 [hard        ] [portfolio_manager_0 ] | DD=64.77% | Ret=-64.31% | Viol=28.20% | Fails=38 | 3.1s
Ep   590 [hard        ] [portfolio_manager_0 ] | DD=55.28% | Ret=-54.88% | Viol=31.60% | Fails=45 | 3.0s
Ep   600 [hard        ] [trader_0            ] | DD=15.54% | Ret=-14.77% | Viol=27.00% | Fails=14 | 3.1s
Ep   610 [hard        ] [trader_0            ] | DD=91.79% | Ret=-91.78% | Viol=34.57% | Fails=48 | 2.3s
Ep   620 [hard        ] [trader_0            ] | DD=91.37% | Ret=-91.34% | Viol=31.74% | Fails=103 | 3.4s
Ep   630 [hard        ] [trader_0            ] | DD=90.25% | Ret=-90.22% | Viol=25.21% | Fails=63 | 3.0s
Ep   640 [hard        ] [trader_0            ] | DD=89.03% | Ret=-89.02% | Viol=12.20% | Fails=105 | 3.1s
Ep   650 [hard        ] [risk_manager_0      ] | DD=91.68% | Ret=-91.51% | Viol=13.46% | Fails=88 | 2.7s
Ep   660 [hard        ] [risk_manager_0      ] | DD=90.57% | Ret=-90.38% | Viol=17.46% | Fails=100 | 2.1s
Ep   670 [hard        ] [risk_manager_0      ] | DD=85.39% | Ret=-84.59% | Viol=11.60% | Fails=66 | 3.4s
Ep   680 [hard        ] [risk_manager_0      ] | DD=81.99% | Ret=-81.72% | Viol=12.80% | Fails=278 | 3.7s
Ep   690 [hard        ] [risk_manager_0      ] | DD=95.14% | Ret=-94.89% | Viol=13.33% | Fails=212 | 3.1s
Ep   700 [hard        ] [portfolio_manager_0 ] | DD=67.18% | Ret=-66.40% | Viol=13.40% | Fails=181 | 3.5s
Ep   710 [hard        ] [portfolio_manager_0 ] | DD=90.12% | Ret=-90.10% | Viol=35.98% | Fails=146 | 1.5s
Ep   720 [hard        ] [portfolio_manager_0 ] | DD=90.60% | Ret=-90.50% | Viol=39.25% | Fails=43 | 0.8s
Ep   730 [hard        ] [portfolio_manager_0 ] | DD=106.30% | Ret=-106.31% | Viol=19.26% | Fails=128 | 2.3s
Ep   740 [hard        ] [portfolio_manager_0 ] | DD=95.95% | Ret=-95.94% | Viol=36.11% | Fails=37 | 0.5s
Ep   750 [hard        ] [trader_0            ] | DD=93.99% | Ret=-93.99% | Viol=35.23% | Fails=120 | 1.1s
Ep   760 [hard        ] [trader_0            ] | DD=1.97% | Ret=-0.37% | Viol=12.60% | Fails=196 | 3.3s
Ep   770 [hard        ] [trader_0            ] | DD=84.98% | Ret=-84.60% | Viol=10.40% | Fails=274 | 3.1s
Ep   780 [hard        ] [trader_0            ] | DD=70.71% | Ret=-70.31% | Viol=9.60% | Fails=299 | 3.1s
Ep   790 [hard        ] [trader_0            ] | DD=78.04% | Ret=-78.04% | Viol=19.80% | Fails=360 | 3.5s
Ep   800 [hard        ] [risk_manager_0      ] | DD=92.90% | Ret=-92.65% | Viol=19.01% | Fails=296 | 2.7s
Ep   810 [hard        ] [risk_manager_0      ] | DD=93.41% | Ret=-92.99% | Viol=21.77% | Fails=177 | 1.9s
